test,n_prompt,n_gen,prompt_tps,gen_tps,ttft_ms
pp1024+tg16,1024,16,48869.52,838.40,22.15
pp4096+tg256,4096,256,30562.68,837.50,135.21
pp2048+tg256,2048,256,42211.32,837.86,49.71
pp2048+tg768,2048,768,42228.99,801.02,49.75
pp1024+tg1024,1024,1024,49016.19,787.84,22.16
pp1280+tg3072,1280,3072,45821.03,733.27,29.30
pp384+tg1152,384,1152,46819.28,780.66,9.48
pp64+tg1024,64,1024,20864.22,786.20,4.34
pp16+tg1536,16,1536,4907.05,776.55,4.55

# Summary
# avg_prompt_tps,36811.14
# avg_gen_tps,797.70
# avg_ttft_ms,36.29
# performance_score,9318.11
